n_cores;seq_time;ff_time
1;18188272562.00;18811695150.00
2;18188272562.00;9911366692.00
3;18188272562.00;7119899729.00
4;18188272562.00;5306455740.00
5;18188272562.00;4393859768.00
6;18188272562.00;3605593085.00
7;18188272562.00;3098194000.00
8;18188272562.00;2746182328.00
9;18188272562.00;2457559101.00
10;18188272562.00;2288966816.00
11;18188272562.00;2088038907.00
12;18188272562.00;2157299831.00
13;18188272562.00;1714839314.00
14;18188272562.00;1556462158.00
15;18188272562.00;1563057193.00
16;18188272562.00;1555122251.00
17;18188272562.00;1475575394.00
18;18188272562.00;1496707110.00
19;18188272562.00;1579264314.00
20;18188272562.00;1552487841.00
21;18188272562.00;1656308671.00
22;18188272562.00;1690506748.00
23;18188272562.00;1470879518.00
24;18188272562.00;1417516587.00
25;18188272562.00;1480644413.00
26;18188272562.00;1602903640.00
27;18188272562.00;1712984079.00
28;18188272562.00;1543124389.00
29;18188272562.00;1626088525.00
30;18188272562.00;1741216774.00
31;18188272562.00;1606010298.00
32;18188272562.00;1697358515.00
33;18188272562.00;2039985036.00
34;18188272562.00;1955911710.00
35;18188272562.00;2103891828.00
36;18188272562.00;1991594611.00
37;18188272562.00;1988361149.00
38;18188272562.00;1901493497.00
39;18188272562.00;1824020408.00
40;18188272562.00;1758012949.00
41;18188272562.00;1704475203.00
42;18188272562.00;1719453920.00
43;18188272562.00;1681791063.00
44;18188272562.00;1665168114.00
45;18188272562.00;1577889428.00
46;18188272562.00;1600946001.00
47;18188272562.00;1606284135.00
48;18188272562.00;1691102224.00
49;18188272562.00;1519617099.00
50;18188272562.00;1827401793.00
51;18188272562.00;1656807641.00
52;18188272562.00;1700556495.00
53;18188272562.00;1521634867.00
54;18188272562.00;1528799549.00
55;18188272562.00;1576644135.00
56;18188272562.00;1807470581.00
57;18188272562.00;1667493615.00
58;18188272562.00;1622209238.00
59;18188272562.00;1731346302.00
60;18188272562.00;1640350413.00
61;18188272562.00;1688281807.00
62;18188272562.00;1577254191.00
63;18188272562.00;1592505130.00
64;18188272562.00;1632770300.00
65;18188272562.00;1875977653.00
66;18188272562.00;1854839337.00
67;18188272562.00;1745444854.00
68;18188272562.00;1865363094.00
69;18188272562.00;1748613313.00
70;18188272562.00;1673244393.00
71;18188272562.00;1704278514.00
72;18188272562.00;1623301438.00
73;18188272562.00;1664134155.00
74;18188272562.00;1603776453.00
75;18188272562.00;1616545591.00
76;18188272562.00;1630153098.00
77;18188272562.00;1759870734.00
78;18188272562.00;1620361604.00
79;18188272562.00;1605553202.00
80;18188272562.00;1652625126.00
81;18188272562.00;1570111324.00
82;18188272562.00;1610319891.00
83;18188272562.00;1657001583.00
84;18188272562.00;1537937713.00
85;18188272562.00;1634386948.00
86;18188272562.00;1582840462.00
87;18188272562.00;1577056693.00
88;18188272562.00;1645823178.00
89;18188272562.00;1709918285.00
90;18188272562.00;1698353047.00
91;18188272562.00;1699482039.00
92;18188272562.00;1807525616.00
93;18188272562.00;1656082415.00
94;18188272562.00;1757095321.00
95;18188272562.00;1680974339.00
96;18188272562.00;1653120877.00
97;18188272562.00;1720900083.00
98;18188272562.00;1689380023.00
99;18188272562.00;1869075621.00
100;18188272562.00;1756501777.00
101;18188272562.00;1832652064.00
102;18188272562.00;1673745656.00
103;18188272562.00;1651842677.00
104;18188272562.00;1736974593.00
105;18188272562.00;1665670302.00
106;18188272562.00;1661722482.00
107;18188272562.00;1746405562.00
108;18188272562.00;1720102226.00
109;18188272562.00;1617279974.00
110;18188272562.00;1658896655.00
111;18188272562.00;1587997697.00
112;18188272562.00;1613243148.00
113;18188272562.00;1605806344.00
114;18188272562.00;1622051365.00
115;18188272562.00;1683250336.00
116;18188272562.00;1665234373.00
117;18188272562.00;1676220066.00
118;18188272562.00;1668327625.00
119;18188272562.00;1638814428.00
120;18188272562.00;1832955200.00
121;18188272562.00;1710752274.00
122;18188272562.00;1760459212.00
123;18188272562.00;1637196600.00
124;18188272562.00;1749771845.00
125;18188272562.00;1774343642.00
126;18188272562.00;1733907957.00
127;18188272562.00;1772770615.00
128;18188272562.00;1668047909.00
