n_cores;seq_time;ff_time
1;29846584539.00;30327545138.00
2;29846584539.00;16423608231.00
3;29846584539.00;14183612774.00
4;29846584539.00;10525089957.00
5;29846584539.00;8514362144.00
6;29846584539.00;7072970304.00
7;29846584539.00;6079586098.00
8;29846584539.00;5501575800.00
9;29846584539.00;4913583323.00
10;29846584539.00;4337294380.00
11;29846584539.00;3977180629.00
12;29846584539.00;3543679147.00
13;29846584539.00;3443699570.00
14;29846584539.00;3088237178.00
15;29846584539.00;3024843292.00
16;29846584539.00;2866136122.00
17;29846584539.00;2770893480.00
18;29846584539.00;2933627052.00
19;29846584539.00;2942604641.00
20;29846584539.00;2847941552.00
21;29846584539.00;2769438621.00
22;29846584539.00;2855765690.00
23;29846584539.00;2771938118.00
24;29846584539.00;2844099499.00
25;29846584539.00;2854686428.00
26;29846584539.00;2956878115.00
27;29846584539.00;2843654892.00
28;29846584539.00;2951357237.00
29;29846584539.00;3043141848.00
30;29846584539.00;3063671704.00
31;29846584539.00;3160605739.00
32;29846584539.00;3209103526.00
33;29846584539.00;3670878806.00
34;29846584539.00;3679691665.00
35;29846584539.00;3822568509.00
36;29846584539.00;3747565576.00
37;29846584539.00;3693487091.00
38;29846584539.00;3673782574.00
39;29846584539.00;3732115464.00
40;29846584539.00;3647817467.00
41;29846584539.00;3540097023.00
42;29846584539.00;3485848340.00
43;29846584539.00;3512306379.00
44;29846584539.00;3427542161.00
45;29846584539.00;3466660757.00
46;29846584539.00;3446522421.00
47;29846584539.00;3388953573.00
48;29846584539.00;3427821449.00
49;29846584539.00;3436357502.00
50;29846584539.00;3501635574.00
51;29846584539.00;3399037787.00
52;29846584539.00;3394036717.00
53;29846584539.00;3333732251.00
54;29846584539.00;3326386491.00
55;29846584539.00;3333186705.00
56;29846584539.00;3407550631.00
57;29846584539.00;3410320709.00
58;29846584539.00;3301455920.00
59;29846584539.00;3344281728.00
60;29846584539.00;3381644380.00
61;29846584539.00;3591486543.00
62;29846584539.00;3696098968.00
63;29846584539.00;3557171990.00
64;29846584539.00;3496301789.00
65;29846584539.00;3441430391.00
66;29846584539.00;3508307690.00
67;29846584539.00;3507782199.00
68;29846584539.00;3553942279.00
69;29846584539.00;3526759378.00
70;29846584539.00;3433054168.00
71;29846584539.00;3461001240.00
72;29846584539.00;3467909568.00
73;29846584539.00;3517414225.00
74;29846584539.00;3392898171.00
75;29846584539.00;3397895344.00
76;29846584539.00;3453239785.00
77;29846584539.00;3472978578.00
78;29846584539.00;3489252685.00
79;29846584539.00;3335897654.00
80;29846584539.00;3344583036.00
81;29846584539.00;3377953160.00
82;29846584539.00;3407607976.00
83;29846584539.00;3439591484.00
84;29846584539.00;3540458888.00
85;29846584539.00;3371946916.00
86;29846584539.00;3374367682.00
87;29846584539.00;3353847351.00
88;29846584539.00;3337647778.00
89;29846584539.00;3352830700.00
90;29846584539.00;3308149775.00
91;29846584539.00;3390675861.00
92;29846584539.00;3434357737.00
93;29846584539.00;3420127329.00
94;29846584539.00;3397205602.00
95;29846584539.00;3458017393.00
96;29846584539.00;3544336688.00
97;29846584539.00;3480648397.00
98;29846584539.00;3490112246.00
99;29846584539.00;3560999466.00
100;29846584539.00;3630157739.00
101;29846584539.00;3845875710.00
102;29846584539.00;3460025834.00
103;29846584539.00;3471322837.00
104;29846584539.00;3437569722.00
105;29846584539.00;3446266811.00
106;29846584539.00;3411542219.00
107;29846584539.00;3457905816.00
108;29846584539.00;3486712564.00
109;29846584539.00;3548804355.00
110;29846584539.00;3431015915.00
111;29846584539.00;3442590742.00
112;29846584539.00;3413736838.00
113;29846584539.00;3393653757.00
114;29846584539.00;3402322546.00
115;29846584539.00;3394615386.00
116;29846584539.00;3395076499.00
117;29846584539.00;3419845517.00
118;29846584539.00;3419734184.00
119;29846584539.00;3397461224.00
120;29846584539.00;3358750812.00
121;29846584539.00;3357400479.00
122;29846584539.00;3392241226.00
123;29846584539.00;3412605181.00
124;29846584539.00;3475656451.00
125;29846584539.00;3333074887.00
126;29846584539.00;3517952890.00
127;29846584539.00;3421987366.00
128;29846584539.00;3600969580.00
