n_cores;seq_time;threads_time;ff_time;omp_time
1;246517962.20000000000000000000;241052636.80000000000000000000;255095181.40000000000000000000;241031334.40000000000000000000
2;248697199.40000000000000000000;137360460.40000000000000000000;155403311.60000000000000000000;124699308.20000000000000000000
3;244497596.80000000000000000000;117688376.40000000000000000000;105739362.00000000000000000000;101290059.20000000000000000000
4;243100762.40000000000000000000;88460392.80000000000000000000;87760416.00000000000000000000;80281906.20000000000000000000
5;244753437.20000000000000000000;73345260.80000000000000000000;73892505.20000000000000000000;63416890.80000000000000000000
6;245203973.80000000000000000000;62110824.60000000000000000000;62910289.40000000000000000000;54937459.60000000000000000000
7;242336299.40000000000000000000;55551229.40000000000000000000;54946660.40000000000000000000;48184349.00000000000000000000
8;241223849.00000000000000000000;57110876.60000000000000000000;50864487.60000000000000000000;45347677.40000000000000000000
9;244533398.60000000000000000000;49216773.00000000000000000000;49452292.40000000000000000000;46425145.20000000000000000000
10;249239502.20000000000000000000;44335775.00000000000000000000;44800333.00000000000000000000;39167473.60000000000000000000
11;244014275.80000000000000000000;45442885.40000000000000000000;51720177.20000000000000000000;38292922.20000000000000000000
12;248293304.60000000000000000000;42938580.80000000000000000000;51875349.60000000000000000000;34198608.00000000000000000000
13;240624819.40000000000000000000;46483710.20000000000000000000;52524442.80000000000000000000;42857954.60000000000000000000
14;248176014.80000000000000000000;46978270.20000000000000000000;51633350.00000000000000000000;48454190.60000000000000000000
15;243889165.00000000000000000000;58782672.60000000000000000000;64682033.80000000000000000000;59274612.60000000000000000000
16;251241664.40000000000000000000;58309434.20000000000000000000;52509481.20000000000000000000;63815343.00000000000000000000
17;246508618.60000000000000000000;60938168.20000000000000000000;59753631.80000000000000000000;64073984.20000000000000000000
18;243894525.00000000000000000000;55799149.20000000000000000000;60999173.40000000000000000000;75267136.60000000000000000000
19;245030557.40000000000000000000;52913114.40000000000000000000;58945105.80000000000000000000;74603582.60000000000000000000
20;246682611.80000000000000000000;48772416.40000000000000000000;53835029.40000000000000000000;86696828.40000000000000000000
21;249635472.80000000000000000000;56348314.20000000000000000000;57501708.00000000000000000000;85365039.60000000000000000000
22;248648851.80000000000000000000;55916918.80000000000000000000;68981944.40000000000000000000;97027750.40000000000000000000
23;248036382.00000000000000000000;47437547.60000000000000000000;59008110.80000000000000000000;124200965.80000000000000000000
24;250527645.00000000000000000000;51974597.40000000000000000000;53352369.60000000000000000000;107142054.80000000000000000000
25;243283634.20000000000000000000;47200048.00000000000000000000;60121561.40000000000000000000;126229951.40000000000000000000
26;241875798.80000000000000000000;48398005.60000000000000000000;58281471.40000000000000000000;168498456.80000000000000000000
27;247210653.80000000000000000000;47978071.40000000000000000000;63186951.40000000000000000000;206791998.60000000000000000000
28;252721743.20000000000000000000;47595080.20000000000000000000;61101441.00000000000000000000;208774820.20000000000000000000
29;248241117.40000000000000000000;48870384.00000000000000000000;62919889.40000000000000000000;210912054.20000000000000000000
30;246384826.20000000000000000000;52890211.60000000000000000000;60693828.20000000000000000000;212354031.80000000000000000000
31;252300728.00000000000000000000;54222640.40000000000000000000;59586317.80000000000000000000;213584712.00000000000000000000
32;244793595.60000000000000000000;54973561.40000000000000000000;66285843.60000000000000000000;216332595.60000000000000000000
33;248847706.40000000000000000000;52185914.00000000000000000000;64922552.40000000000000000000;65197094.60000000000000000000
34;240038608.20000000000000000000;51336364.80000000000000000000;62233473.00000000000000000000;57810112.40000000000000000000
35;244924266.00000000000000000000;55507684.60000000000000000000;62670528.80000000000000000000;59864580.00000000000000000000
36;244741871.00000000000000000000;52414253.00000000000000000000;69001065.20000000000000000000;61604122.00000000000000000000
37;250841988.00000000000000000000;52923634.20000000000000000000;64052961.60000000000000000000;67802467.20000000000000000000
38;251540565.40000000000000000000;55285046.60000000000000000000;66304325.00000000000000000000;63292219.40000000000000000000
39;246025215.00000000000000000000;55163076.60000000000000000000;70479665.20000000000000000000;61497032.80000000000000000000
40;245335018.80000000000000000000;56532608.20000000000000000000;64526300.20000000000000000000;63481254.80000000000000000000
41;246027135.00000000000000000000;55230642.40000000000000000000;62838782.40000000000000000000;63464993.20000000000000000000
42;244240429.20000000000000000000;55548368.20000000000000000000;69101433.00000000000000000000;59567916.00000000000000000000
43;245389902.80000000000000000000;53371330.60000000000000000000;72185704.20000000000000000000;65296722.40000000000000000000
44;249502178.00000000000000000000;57902020.00000000000000000000;71371877.80000000000000000000;60402143.60000000000000000000
45;242631837.60000000000000000000;47572097.80000000000000000000;67716819.80000000000000000000;63350323.60000000000000000000
46;239735281.20000000000000000000;54498222.00000000000000000000;63509716.60000000000000000000;60198046.80000000000000000000
47;245564816.60000000000000000000;61242392.00000000000000000000;63690111.60000000000000000000;57836754.40000000000000000000
48;253233961.60000000000000000000;55229281.80000000000000000000;65113667.60000000000000000000;64854326.20000000000000000000
49;247297577.40000000000000000000;61371282.20000000000000000000;61606201.80000000000000000000;63239294.60000000000000000000
50;246622561.80000000000000000000;54971601.00000000000000000000;67381272.20000000000000000000;62300158.20000000000000000000
51;240266044.40000000000000000000;56468722.60000000000000000000;62107662.20000000000000000000;63814141.40000000000000000000
52;250283780.60000000000000000000;63761577.00000000000000000000;72242448.20000000000000000000;63163768.60000000000000000000
53;248078900.60000000000000000000;59658422.40000000000000000000;68330669.40000000000000000000;61860561.80000000000000000000
54;248640766.20000000000000000000;57484445.40000000000000000000;68249622.80000000000000000000;59333956.20000000000000000000
55;249125705.60000000000000000000;57053250.40000000000000000000;66987420.20000000000000000000;67527824.00000000000000000000
56;248782297.60000000000000000000;57858235.60000000000000000000;73412823.40000000000000000000;65877409.80000000000000000000
57;248774216.40000000000000000000;61936268.40000000000000000000;81092409.80000000000000000000;62861743.80000000000000000000
58;250275398.60000000000000000000;57008966.20000000000000000000;61834479.60000000000000000000;58704184.60000000000000000000
59;247013032.80000000000000000000;59103937.20000000000000000000;73099798.00000000000000000000;66969118.20000000000000000000
60;246283213.20000000000000000000;57593214.20000000000000000000;76912528.80000000000000000000;65030620.40000000000000000000
61;257507668.40000000000000000000;65710675.60000000000000000000;73563835.60000000000000000000;72850897.80000000000000000000
62;246777213.20000000000000000000;61341839.80000000000000000000;70161518.20000000000000000000;72022630.20000000000000000000
63;248379163.80000000000000000000;53219717.60000000000000000000;68528305.20000000000000000000;60133881.20000000000000000000
