n_cores;seq_time;threads_time;ff_time;omp_time
1;17618237.00;23844144.80;33398184.20;19666264.00
2;17618237.00;15341671.40;52857471.40;14214619.60
3;17618237.00;11267639.20;52434296.80;7713309.00
4;17618237.00;10135347.00;76698135.80;6325256.00
5;17618237.00;8501213.20;35847164.00;8355921.60
6;17618237.00;14168355.80;70169583.80;8023474.40
7;17618237.00;7948908.40;58330038.20;8247512.80
8;17618237.00;8431007.80;55094914.00;6330176.20
9;17618237.00;9045757.60;39210038.60;9974594.00
10;17618237.00;16496625.60;79338271.60;13680736.00
11;17618237.00;12397471.20;60965232.80;15479562.40
12;17618237.00;18363338.00;90008661.80;19735829.60
13;17618237.00;12891571.60;58290974.60;15350072.20
14;17618237.00;15844772.60;72178647.40;55826513.80
15;17618237.00;10292099.80;41500865.40;27605291.60
16;17618237.00;17796592.00;88710756.00;47901907.40
17;17618237.00;13862731.00;74194832.00;47374364.20
18;17618237.00;22168227.80;76095907.20;43301912.20
19;17618237.00;15020385.40;95178784.00;65711159.80
20;17618237.00;12449095.20;86876966.60;62278479.80
21;17618237.00;13445276.60;75775120.80;56239387.40
22;17618237.00;27375953.20;82453945.60;66982563.80
23;17618237.00;24183552.60;115165694.00;104451959.80
24;17618237.00;27816729.00;63490098.60;76171773.20
25;17618237.00;34951511.00;104976763.00;100682692.40
26;17618237.00;38399132.20;118447981.80;105283907.60
27;17618237.00;28562370.00;135769754.40;84993672.80
28;17618237.00;36211533.60;127634831.00;104593951.40
29;17618237.00;37265859.40;129701439.40;99473493.80
30;17618237.00;30170221.00;130456061.00;94783711.60
31;17618237.00;13710738.40;116036104.60;110023454.20
32;17618237.00;58521113.40;111014035.00;98207830.60
