n_cores;seq_time;threads_time;ff_time;omp_time
1;16046412189.00;16132303947.00;16121903627.00;16008950457.00
2;16046412189.00;8071558929.00;8213997680.00;8024148968.00
3;16046412189.00;8541193376.00;5781367580.00;5379363445.00
4;16046412189.00;7848665781.00;4291871816.00;4043279733.00
5;16046412189.00;6302373078.00;3475025726.00;3267223267.00
6;16046412189.00;3965676893.00;2867752292.00;2733641391.00
7;16046412189.00;4467168025.00;2467122822.00;2309864097.00
8;16046412189.00;3952357914.00;2211380353.00;2062434627.00
9;16046412189.00;3494674392.00;1945336640.00;1821325897.00
10;16046412189.00;3132462650.00;1769781280.00;1633241797.00
11;16046412189.00;2857176167.00;1589933271.00;1479245444.00
12;16046412189.00;2635321746.00;1437296035.00;1364585474.00
13;16046412189.00;2455948373.00;1342910656.00;1275948975.00
14;16046412189.00;2284956304.00;1256777568.00;1182407871.00
15;16046412189.00;2143919534.00;1185673533.00;1135513554.00
16;16046412189.00;1996021197.00;1133985217.00;1106494026.00
17;16046412189.00;1871083076.00;1068623465.00;1000197467.00
18;16046412189.00;1801975906.00;1003886367.00;936893289.00
19;16046412189.00;1701346014.00;942286231.00;914858447.00
20;16046412189.00;1600771830.00;912127113.00;870216524.00
21;16046412189.00;1530541572.00;905211230.00;906519637.00
22;16046412189.00;1538252402.00;921515480.00;955505607.00
23;16046412189.00;1493139836.00;887156714.00;918879652.00
24;16046412189.00;1433119031.00;882389411.00;894814943.00
25;16046412189.00;1376109578.00;870541418.00;922677354.00
26;16046412189.00;1353639199.00;838847475.00;864064272.00
27;16046412189.00;1352136264.00;860695787.00;848252351.00
28;16046412189.00;1286496196.00;852055962.00;790906976.00
29;16046412189.00;1322104147.00;812449663.00;883935406.00
30;16046412189.00;1298362064.00;808923564.00;877042827.00
31;16046412189.00;1261764012.00;869667309.00;841555771.00
32;16046412189.00;1300582531.00;827326083.00;922734114.00
33;16046412189.00;1492516379.00;1160908108.00;1190583673.00
34;16046412189.00;1572077581.00;1198783048.00;1179099510.00
35;16046412189.00;1604224640.00;1223708710.00;1142509059.00
36;16046412189.00;1605138903.00;1163205272.00;1097516811.00
37;16046412189.00;1601097055.00;1182693082.00;1098788208.00
38;16046412189.00;1631545573.00;1107159597.00;1099047222.00
39;16046412189.00;1628711425.00;1089774745.00;1047093097.00
40;16046412189.00;1577790483.00;1057139226.00;1064878568.00
41;16046412189.00;1572693949.00;1024129376.00;992691363.00
42;16046412189.00;1559539946.00;1020617078.00;978785102.00
43;16046412189.00;1588193214.00;1057980674.00;977100755.00
44;16046412189.00;1482730045.00;960365660.00;949414850.00
45;16046412189.00;1482273298.00;961772971.00;946093568.00
46;16046412189.00;1459926733.00;943569053.00;929611693.00
47;16046412189.00;1425123634.00;980941351.00;913257129.00
48;16046412189.00;1417501492.00;959993305.00;899913216.00
49;16046412189.00;1410756424.00;939557302.00;932616525.00
50;16046412189.00;1382869400.00;964800493.00;920950852.00
51;16046412189.00;1381197354.00;875512275.00;893450563.00
52;16046412189.00;1346462362.00;868223465.00;898152649.00
53;16046412189.00;1320054563.00;894883973.00;873236876.00
54;16046412189.00;1339268350.00;876501443.00;856438477.00
55;16046412189.00;1322739471.00;894532535.00;888420126.00
56;16046412189.00;1323341714.00;857599465.00;854220483.00
57;16046412189.00;1293482630.00;869168120.00;898014112.00
58;16046412189.00;1336797217.00;849891116.00;889037563.00
59;16046412189.00;1330272268.00;885679081.00;879507268.00
60;16046412189.00;1327429326.00;843203152.00;890247355.00
61;16046412189.00;1310347102.00;855981909.00;922082691.00
62;16046412189.00;1341053242.00;820899493.00;905081775.00
63;16046412189.00;1377130728.00;878887799.00;928411506.00
64;16046412189.00;1347579770.00;902472251.00;938765860.00
65;16046412189.00;1330775069.00;1099047649.00;1014892469.00
66;16046412189.00;1324047404.00;1020981569.00;960152023.00
67;16046412189.00;1352301841.00;970672492.00;957339686.00
68;16046412189.00;1360406605.00;962396101.00;945681814.00
69;16046412189.00;1333387458.00;1054207509.00;933124969.00
70;16046412189.00;1357433146.00;997002661.00;922238562.00
71;16046412189.00;1333603063.00;975027335.00;917397655.00
72;16046412189.00;1337251060.00;950934233.00;922790498.00
73;16046412189.00;1336698907.00;953951478.00;907801152.00
74;16046412189.00;1337307251.00;932536998.00;914176976.00
75;16046412189.00;1330934817.00;931037770.00;933729892.00
76;16046412189.00;1327098793.00;943715216.00;883218501.00
77;16046412189.00;1320248620.00;922632865.00;899453143.00
78;16046412189.00;1401716164.00;911253617.00;887242327.00
79;16046412189.00;1285493928.00;935172696.00;904154125.00
80;16046412189.00;1298204275.00;899797260.00;913074160.00
81;16046412189.00;1285160289.00;889546907.00;887945474.00
82;16046412189.00;1264465669.00;906442703.00;878338275.00
83;16046412189.00;1266389123.00;859197585.00;900503307.00
84;16046412189.00;1266660040.00;820932411.00;876928150.00
85;16046412189.00;1254014187.00;1321849005.00;898531936.00
86;16046412189.00;1264933486.00;849297654.00;885446049.00
87;16046412189.00;1265657242.00;946480801.00;902649170.00
88;16046412189.00;1264772663.00;901116440.00;892850555.00
89;16046412189.00;1263298536.00;856636152.00;890443452.00
90;16046412189.00;1246862569.00;893917536.00;913046821.00
91;16046412189.00;1371286070.00;938574532.00;931653057.00
92;16046412189.00;1273494965.00;861544849.00;918993006.00
93;16046412189.00;1278972914.00;888894111.00;930084720.00
94;16046412189.00;1261721581.00;836738288.00;925658851.00
95;16046412189.00;1258477008.00;890753757.00;955005577.00
96;16046412189.00;1262009295.00;885701735.00;948194609.00
97;16046412189.00;1251707237.00;925826155.00;975666581.00
98;16046412189.00;1264375881.00;929864485.00;948331913.00
99;16046412189.00;1257393798.00;912747365.00;949931842.00
100;16046412189.00;1253235850.00;892089451.00;949315189.00
101;16046412189.00;1293161451.00;919543621.00;945648081.00
102;16046412189.00;1262639320.00;940357541.00;922424756.00
103;16046412189.00;1298165756.00;974742884.00;924764546.00
104;16046412189.00;1263279263.00;886115545.00;917272423.00
105;16046412189.00;1265803368.00;886024734.00;904429456.00
106;16046412189.00;1318085291.00;941371912.00;975334222.00
107;16046412189.00;1275132932.00;902807917.00;902976530.00
108;16046412189.00;1263538568.00;937276066.00;902869118.00
109;16046412189.00;1269135327.00;944807787.00;925041650.00
110;16046412189.00;1263236034.00;957712051.00;909352248.00
111;16046412189.00;1264083300.00;813136485.00;911149095.00
112;16046412189.00;1240282327.00;881044201.00;923942051.00
113;16046412189.00;1258083896.00;899678941.00;921277827.00
114;16046412189.00;1312371983.00;919755199.00;944026706.00
115;16046412189.00;1262233431.00;912803120.00;911887544.00
116;16046412189.00;1260515286.00;868553157.00;911172482.00
117;16046412189.00;1246689538.00;881825352.00;949456747.00
118;16046412189.00;1243188844.00;912885019.00;905175281.00
119;16046412189.00;1247937133.00;849239151.00;949819571.00
120;16046412189.00;1222767647.00;898635435.00;915647941.00
121;16046412189.00;1229054364.00;900363375.00;894579596.00
122;16046412189.00;1235830521.00;905736316.00;903327217.00
123;16046412189.00;1223826424.00;870228977.00;905979533.00
124;16046412189.00;1236408062.00;910256085.00;910442800.00
125;16046412189.00;1231808878.00;845584334.00;922910029.00
126;16046412189.00;1231485248.00;865839407.00;924048021.00
127;16046412189.00;1260314128.00;922952028.00;1011305434.00
128;16046412189.00;1314646418.00;910335682.00;1017996685.00
